timestamp,open,high,low,close,volume_from,volume_to
2025-06-06 16:00:00,21.38,21.48,21.26,21.31,4114.04,87967.51
2025-06-06 17:00:00,21.31,21.37,21.1,21.22,7380.23,156603.61
2025-06-06 18:00:00,21.22,21.25,21.08,21.11,4731.66,100108.4
2025-06-06 19:00:00,21.11,21.16,21.09,21.12,3381.31,71420.81
2025-06-06 20:00:00,21.12,21.3,21.11,21.25,1985.27,42178.63
2025-06-06 21:00:00,21.25,21.28,21.16,21.24,2889.85,61305.37
2025-06-06 22:00:00,21.24,21.27,21.17,21.26,2225.97,47196.05
2025-06-06 23:00:00,21.26,21.29,21.22,21.26,2637.6,56081.2
2025-06-07 00:00:00,21.26,21.37,21.22,21.36,5926.45,126164.22
2025-06-07 01:00:00,21.36,21.4,21.27,21.34,1647.35,35141.19
2025-06-07 02:00:00,21.34,21.43,21.3,21.43,1415.8,30259.11
2025-06-07 03:00:00,21.43,21.48,21.4,21.47,1987.64,42660.68
2025-06-07 04:00:00,21.47,21.48,21.4,21.46,1402.61,30084.81
2025-06-07 05:00:00,21.46,21.51,21.46,21.51,1261.71,27117.06
2025-06-07 06:00:00,21.51,21.57,21.44,21.57,1225.71,26330.63
2025-06-07 07:00:00,21.57,21.58,21.51,21.54,1299.75,28005.24
2025-06-07 08:00:00,21.54,21.6,21.49,21.5,2860.61,61678.1
2025-06-07 09:00:00,21.5,21.58,21.48,21.54,3333.61,71818.74
2025-06-07 10:00:00,21.54,21.64,21.54,21.61,2839.68,61317.48
2025-06-07 11:00:00,21.61,21.72,21.6,21.61,4527.45,98055.18
2025-06-07 12:00:00,21.61,21.72,21.61,21.67,1945.81,42187.6
2025-06-07 13:00:00,21.67,21.75,21.65,21.72,2384.44,51797.85
2025-06-07 14:00:00,21.72,21.75,21.62,21.62,2331.77,50626.6
2025-06-07 15:00:00,21.62,21.64,21.57,21.63,2092.73,45212.75
2025-06-07 16:00:00,21.63,21.68,21.57,21.59,2026.68,43847.8
2025-06-07 17:00:00,21.59,21.62,21.49,21.49,2727.05,58767.7
2025-06-07 18:00:00,21.49,21.62,21.49,21.59,3977.12,85808.04
2025-06-07 19:00:00,21.59,21.71,21.59,21.65,941.17,20392.13
2025-06-07 20:00:00,21.65,21.71,21.64,21.65,1407.28,30495.87
2025-06-07 21:00:00,21.65,21.68,21.61,21.62,1701.47,36820.79
2025-06-07 22:00:00,21.62,21.74,21.61,21.66,2322.01,50314.43
2025-06-07 23:00:00,21.66,21.67,21.58,21.65,1143.32,24713.07
2025-06-08 00:00:00,21.65,21.65,21.57,21.58,746.0,16105.95
2025-06-08 01:00:00,21.58,21.59,21.53,21.59,657.94,14187.45
2025-06-08 02:00:00,21.59,21.6,21.49,21.5,531.92,11449.33
2025-06-08 03:00:00,21.5,21.5,21.47,21.48,2056.4,44154.19
2025-06-08 04:00:00,21.48,21.52,21.45,21.51,546.01,11731.54
